"team","map","win_rate","","",""
"Leviatan","Fracture (6)","50%","","",""
"Leviatan","Pearl (3)","100%","","",""
"Leviatan","Lotus (1)","100%","","",""
"LOUD","Bind (11)","82%","","",""
"LOUD","Haven (13)","85%","","",""
"LOUD","Split (9)","78%","","",""
"LOUD","Ascent (22)","91%","","",""
"LOUD","Icebox (14)","79%","","",""
"LOUD","Breeze (11)","91%","","",""
"LOUD","Fracture (15)","60%","","",""
"LOUD","Pearl (5)","60%","","",""
"LOUD","Lotus (2)","50%","","",""
"MIBR","Bind (22)","64%","","",""
"MIBR","Haven (27)","59%","","",""
"MIBR","Split (5)","60%","","",""
"MIBR","Ascent (27)","48%","","",""
"MIBR","Icebox (12)","75%","","",""
"MIBR","Breeze (4)","25%","","",""
"MIBR","Fracture (12)","50%","","",""
"MIBR","Pearl (0)","-","","",""
"MIBR","Lotus (1)","100%","","",""
"NRG Esports","Bind (67)","69%","","",""
"NRG Esports","Haven (85)","73%","","",""
"NRG Esports","Split (33)","58%","","",""
"NRG Esports","Ascent (43)","53%","","",""
"NRG Esports","Icebox (52)","69%","","",""
"NRG Esports","Breeze (26)","69%","","",""
"NRG Esports","Fracture (7)","57%","","",""
"NRG Esports","Pearl (2)","50%","","",""
"NRG Esports","Lotus (2)","0%","","",""
"Sentinels","Bind (66)","70%","","",""
"Sentinels","Haven (94)","74%","","",""
"Sentinels","Split (68)","68%","","",""
"Sentinels","Ascent (68)","66%","","",""
"Sentinels","Icebox (45)","64%","","",""
"Sentinels","Breeze (14)","71%","","",""
"Sentinels","Fracture (14)","57%","","",""
"Sentinels","Pearl (1)","100%","","",""
"Sentinels","Lotus (0)","-","","",""
